business_id,business_id_raw,name,province,city,street_address,postal_code,post_office,coordinates,postal_address,postal_address_code,postal_address_post_offoce,postal_address_country,postal_address_country_code,company_form,established_date,main_line_of_business_code,main_line_of_business,main_line_of_business_category
31356587,3135658-7,Kapacity.io,Uudenmaan maakunta,Helsinki,Hämeentie 31,00500,HELSINKI,"(60.18784, 24.96311)",Siltasaarenkatu 10,00530,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-05-12,62020,Computer Hardware and Software Consulting,"IT Consulting, IT Services"
27654119,2765411-9,RumbleTools Oy,Etelä-Karjalan maakunta,Imatra,Sauramonkuja 4,55800,IMATRA,"(61.224008, 28.84343)",Sauramonkuja 4,55800,IMATRA,Suomi,FIN,Osakeyhtiö,2016-06-01,32991,Manufacture of Safety Equipment,"Security Products, Security Services"
28152858,2815285-8,Comptek Solutions Oy,Varsinais-Suomen maakunta,Turku,Voimakatu 18,20520,TURKU,"(60.446752, 22.319295)",Voimakatu 18,20520,TURKU,Suomi,FIN,Osakeyhtiö,2017-02-13,72193,Engineering Research and Development,"Product Development, Research and Design Services"
33993803,3399380-3,Gosta Labs Oy,Uudenmaan maakunta,Espoo,Otakaari 5,02150,ESPOO,"(60.186622, 24.82692)",Otakaari 5,02150,ESPOO,Suomi,FIN,Osakeyhtiö,2023-10-25,62010,Software Design and Development,"IT Consulting, IT Services"
31883467,3188346-7,audiospace.io Oy,Uudenmaan maakunta,Helsinki,Lemuntie 7,00510,HELSINKI,"(60.196449, 24.94986)",Sankaritie 4 C 29,00320,HELSINKI,Suomi,FIN,Osakeyhtiö,2021-02-03,62010,Software Design and Development,"IT Consulting, IT Services"
26900592,2690059-2,A.S.Helsingö Oy Ab,Uudenmaan maakunta,Helsinki,Fabianinkatu 4,00130,HELSINKI,"(60.166002, 24.94963)",Fabianinkatu 4,00130,HELSINKI,Suomi,FIN,Osakeyhtiö,2015-05-08,47599,Retail Sale of Household Goods n.e.c.,Household Goods
31820255,3182025-5,Nollaamo Oy,,,,,,,Untamonpolku 2,40930,KINKOMAA,Suomi,FIN,Osakeyhtiö,2021-01-08,46650,Wholesale of Office Furniture,Wholesale Business
30183733,3018373-3,Voodoo Lily Oy,,,,,,,Ilmattarenkuja 22 B 2,00610,HELSINKI,Suomi,FIN,Osakeyhtiö,2019-08-15,70220,Other Management Consulting,Management Consulting
28535349,2853534-9,Hookle Oy,Uudenmaan maakunta,Helsinki,Mannerheiminaukio 1 A,00100,HELSINKI,"(60.171439, 24.93733)",Mannerheiminaukio 1 A,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2017-09-01,62010,Software Design and Development,"IT Consulting, IT Services"
31187461,3118746-1,Blokgarden Oy,,,,,,,Lindforsinkatu 16 as. 31,33720,TAMPERE,Suomi,FIN,Osakeyhtiö,2020-02-12,81300,Landscaping Services,Gardening and Yard Work
28758753,2875875-3,iconicchain Oy,Uudenmaan maakunta,Helsinki,Itämerenkatu 1,00180,HELSINKI,"(60.164032, 24.9195)",Lodenkuja 2 J,02450,SUNDSBERG,Suomi,FIN,Osakeyhtiö,2017-12-14,62010,Software Design and Development,"IT Consulting, IT Services"
28335785,2833578-5,Windester Oy,Kanta-Hämeen maakunta,Hämeenlinna,Saajantie 30 A,13210,HÄMEENLINNA,"(61.013001, 24.49138)",Saajantie 30 A,13210,HÄMEENLINNA,Suomi,FIN,Osakeyhtiö,2017-05-14,27900,Manufacture of Other Electrical Equipment,"Electrical Devices, Electrical Machines"
27527259,2752725-9,Quanturi Oy,Uudenmaan maakunta,Helsinki,Töölöntorinkatu 2 B 23,00260,HELSINKI,"(60.177751, 24.92498)",Pohjoinen Hesperiankatu 15 B 23,00260,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-03-16,63110,"Data Processing, Hosting, and Related Services","IT Consulting, IT Services"
27345463,2734546-3,Tessin Oyj,,,,,,,Iso Roobertinkatu 20-22,00120,HELSINKI,Suomi,FIN,Julkinen osakeyhtiö,2015-12-31,64990,Other Financial Services n.e.c. (Excluding Insurance and Pension Funding),Finance and Credit Activities
29321668,2932166-8,Cluby Oy,Uudenmaan maakunta,Helsinki,Mikonkatu 9,00100,HELSINKI,"(60.169942, 24.94537)",Mikonkatu 9,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-08-16,62010,Software Design and Development,"IT Consulting, IT Services"
29294938,2929493-8,Job Solutions Europe Oy,Uudenmaan maakunta,Helsinki,Pikku Satamakatu 3-5,00160,HELSINKI,"(60.165952, 24.96619)",Pikku Satamakatu 3-5,00160,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-08-02,62010,Software Design and Development,"IT Consulting, IT Services"
26898218,2689821-8,Amandan Healthcare Oy,Lapin maakunta,Rovaniemi,Ukkoherrantie 1 A 38,96100,ROVANIEMI,"(66.498642, 25.73144)",Ukkoherrantie 1 A 38,96100,ROVANIEMI,Suomi,FIN,Osakeyhtiö,2015-05-07,47740,Retail Sale of Medical Supplies,Healthcare Products
33267684,3326768-4,Carbonaide Oy,Pohjois-Karjalan maakunta,Joensuu,Varstakuja 2,80260,JOENSUU,"(62.603721, 29.86027)",Varstakuja 2,80260,JOENSUU,Suomi,FIN,Osakeyhtiö,2022-11-22,28290,Manufacture of Other General-Purpose Machinery,
29132242,2913224-2,Qheat,Uudenmaan maakunta,Helsinki,Mannerheimintie 105,00280,HELSINKI,"(60.204331, 24.89926)",Mannerheimintie 105,00280,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-05-02,35301,District Heating and Cooling Production and Distribution,"Energy Services, Energy Production"
32309475,3230947-5,Alinor Oy,,,,,,,Kallvikinniementie 35d A,00980,HELSINKI,Suomi,FIN,Osakeyhtiö,2021-08-23,47919,Other Mail Order and E-Commerce,E-commerce
31575544,3157554-4,Foilone Oy,Uudenmaan maakunta,Espoo,Vuorimiehentie 2,02150,ESPOO,"(60.181819, 24.82448)",Tehtaankatu 21 B 43,00150,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-09-11,30120,Construction of Pleasure and Sporting Boats,Boats and Boatyards
34307756,3430775-6,Lexofon Oy,Uudenmaan maakunta,Helsinki,Mikonkatu 9,00100,HELSINKI,"(60.169942, 24.94537)",Mikonkatu 9,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2024-02-27,18200,"Production of Sound, Video, and Computer Media",Music Production
29357054,2935705-4,Statzon Oy,Uudenmaan maakunta,Helsinki,Bulevardi 21,00180,HELSINKI,"(60.163559, 24.93477)",Bulevardi 21,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-08-29,62010,Software Design and Development,"IT Consulting, IT Services"
28176569,2817656-9,Aqsens Health Oy,Varsinais-Suomen maakunta,Turku,Itäinen Pitkäkatu 4 B,20520,TURKU,"(60.448779, 22.29041)",Itäinen Pitkäkatu 2,20520,TURKU,Suomi,FIN,Osakeyhtiö,2017-02-21,26510,"Manufacture of Measuring, Testing and Navigation Instruments",Measuring and Research Instruments
32355893,3235589-3,Focal Technologies Oy,,,,,,,PL 1188,00101,HELSINKI,Suomi,FIN,Osakeyhtiö,2021-09-14,62010,Software Design and Development,"IT Consulting, IT Services"
26816366,2681636-6,Ctrl Alt Ninja Oy,,,,,,,Holmanniitynkuja 14 B,02240,ESPOO,Suomi,FIN,Osakeyhtiö,2015-03-16,62010,Software Design and Development,"IT Consulting, IT Services"
27665037,2766503-7,Emberion Oy,Uudenmaan maakunta,Espoo,Metsänneidonkuja 8,02130,ESPOO,"(60.18779, 24.8059)",Metsänneidonkuja 8,02130,ESPOO,Suomi,FIN,Osakeyhtiö,2016-06-03,71125,Electrical Engineering Design,Design Office
34380216,3438021-6,QMill Oy,Uudenmaan maakunta,Espoo,Keilaranta 12 D,02150,ESPOO,"(60.178338, 24.83504)",Keilaranta 12 D,02150,ESPOO,Suomi,FIN,Osakeyhtiö,2024-03-27,62010,Software Design and Development,"IT Consulting, IT Services"
32024533,3202453-3,Stayify Oy Ab,,,,,,,Vindgränden 4 B 28,02100,ESPOO,Suomi,FIN,Osakeyhtiö,2021-04-01,62020,Computer Hardware and Software Consulting,"IT Consulting, IT Services"
29180041,2918004-1,SaaShop Oy,Uudenmaan maakunta,Espoo,Kappelikuja 6,02200,ESPOO,"(60.167699, 24.76388)",Kappelikuja 6,02200,ESPOO,Suomi,FIN,Osakeyhtiö,2018-05-29,47410,"Retail Sale of Computers, Peripherals and Software",IT Equipment
27653386,2765338-6,Karsa Oy,Uudenmaan maakunta,Helsinki,A.I. Virtasen aukio 1 A 319,00560,HELSINKI,"(60.205598, 24.96316)",A.I. Virtasen Aukio 1 A 319,00560,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-05-30,72192,Other Natural Sciences Research and Development,"Product Development, Research and Design Services"
32813946,3281394-6,Win or Learn Oy,,,,,,,Valtatie 50 as. 25,90500,OULU,Suomi,FIN,Osakeyhtiö,2022-04-16,58210,Publishing of Computer Games,Computer Games and Game Consoles
28433393,2843339-3,Xiphera,Uudenmaan maakunta,Espoo,Tekniikantie 12,02150,ESPOO,"(60.184111, 24.81586)",Tekniikantie 12,02150,ESPOO,Suomi,FIN,Osakeyhtiö,2017-07-05,62010,Software Design and Development,"IT Consulting, IT Services"
32079657,3207965-7,Dooap Oy,Pirkanmaan maakunta,Tampere,Hatanpään Valtatie 24,33100,TAMPERE,"(61.487802, 23.769656)",Åkerlundinkatu 11 D,33100,TAMPERE,Suomi,FIN,Osakeyhtiö,2021-04-29,62010,Software Design and Development,"IT Consulting, IT Services"
28772846,2877284-6,Smidyo Ab,Pohjanmaan maakunta,Uusikaarlepyy,Jakobstadsvägen 29,66900,NYKARLEBY,"(63.531549, 22.53937)",Jakobstadsvägen 29,66900,UUSIKAARLEPYY,Suomi,FIN,Osakeyhtiö,2017-12-20,62090,Other IT and Computer Services,"IT Consulting, IT Services"
28222051,2822205-1,Ouca Bikes Oy,Pohjois-Pohjanmaan maakunta,Oulu,Tuotekuja 1 A 8,90410,OULU,"(64.975219, 25.50696)",Tuotekuja 1 A 8,90410,OULU,Suomi,FIN,Osakeyhtiö,2017-03-14,30920,Manufacture of Bicycles and Invalid Carriages,Bicycle
29729524,2972952-4,Lingon Games Oy,Pohjanmaan maakunta,Vaasa,Rantakatu 8 B 40,65100,VAASA,"(63.094959, 21.60362)",Pitkänlahdenkatu 6 B 4,65100,VAASA,Suomi,FIN,Osakeyhtiö,2019-01-28,62010,Software Design and Development,"IT Consulting, IT Services"
31294371,3129437-1,Lainappi Oy,,,,,,,Sammonkatu 37 B 29,33540,TAMPERE,Suomi,FIN,Osakeyhtiö,2020-04-02,62090,Other IT and Computer Services,"IT Consulting, IT Services"
31528908,3152890-8,Eventual Oy,Uudenmaan maakunta,Helsinki,Aleksanterinkatu 42 B,00100,HELSINKI,"(60.168922, 24.94635)",Runeberginkatu 54 B 10,00260,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-08-19,90020,Performing Arts Support Activities,
27200432,2720043-2,WellEdu Fennica Oy,Uudenmaan maakunta,Helsinki,Konepajankuja 1,00510,HELSINKI,"(60.191389, 24.94874)",Temppelikatu 6 B 31,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2015-10-23,85600,Educational Support Services,Education and Training Services
33001528,3300152-8,One Mobility Oy,Uudenmaan maakunta,Helsinki,Sofiankatu 4 C,00170,HELSINKI,"(60.168072, 24.95216)",Sofiankatu 4 C,00170,HELSINKI,Suomi,FIN,Osakeyhtiö,2022-07-15,62010,Software Design and Development,"IT Consulting, IT Services"
26748973,2674897-3,Fluent Progress RT Oy,Pohjois-Karjalan maakunta,Joensuu,Torikatu 29,80100,JOENSUU,"(62.602718, 29.76497)",Torikatu 29,80100,JOENSUU,Suomi,FIN,Osakeyhtiö,2015-02-09,62010,Software Design and Development,Applications and Software
27343935,2734393-5,Carna eHealth Oy,Varsinais-Suomen maakunta,Turku,Tykistökatu 4,20520,TURKU,"(60.449691, 22.29271)",Tykistökatu 4,20520,TURKU,Suomi,FIN,Osakeyhtiö,2015-12-31,26600,Manufacture of Radiation and Medical Electronic Devices,Healthcare Equipment and Supplies
32447245,3244724-5,Romify Oy,Uudenmaan maakunta,Helsinki,Bertha Pauligin Katu 4 A 6,00990,HELSINKI,"(60.20608, 25.14807)",Bertha Pauligin Katu 4 A 6,00990,HELSINKI,Suomi,FIN,Osakeyhtiö,2021-10-28,62010,Software Design and Development,"IT Consulting, IT Services"
32174419,3217441-9,Pop In Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16,00180,HELSINKI,"(60.1675, 24.92301)",Lapinlahdenkatu 16,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2021-06-10,62010,Software Design and Development,"IT Consulting, IT Services"
27344874,2734487-4,B2B trade payment services AB,Uudenmaan maakunta,Helsinki,Mannerheimintie 15a B,00260,HELSINKI,"(60.178285, 24.929355)",PL 747,00101,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-01-04,64190,Other Banking Activities,Bank
33789482,3378948-2,Vested Health Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16,00180,HELSINKI,"(60.1675, 24.92301)",Lapinlahdenkatu 16,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2023-07-21,86220,Private Medical Clinics and Specialist Services,Doctor or Medical Center
27714134,2771413-4,Krispi Oy,Uudenmaan maakunta,Helsinki,Valimotie 13 A,00380,HELSINKI,"(60.21782, 24.878631)",,,,,,Osakeyhtiö,2016-07-05,62010,Software Design and Development,"IT Consulting, IT Services"
29316586,2931658-6,Oppi AI Oy,,,,,,,Luhtikatu 4 H 65,15500,LAHTI,Suomi,FIN,Osakeyhtiö,2018-08-14,63990,Other Information Service Activities n.e.c.,
27867288,2786728-8,Sondie Oy,,,,,,,Jarrumiehenkatu 7,10960,HANKO POHJOINEN,Suomi,FIN,Osakeyhtiö,2016-10-07,62010,Software Design and Development,"IT Consulting, IT Services"
31299658,3129965-8,Apiable Oy,Uudenmaan maakunta,Helsinki,Jollaksentie 66,00850,HELSINKI,"(60.160579, 25.09008)",Jollaksentie 66,00850,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-04-06,63120,Web Portals,"IT Consulting, IT Services"
28524228,2852422-8,Nokeval Oy,Pirkanmaan maakunta,Nokia,Rounionkatu 107,37150,NOKIA,"(61.49836837485514, 23.561855119049085)",Rounionkatu 107,37150,NOKIA,Suomi,FIN,Osakeyhtiö,,26510,"Manufacture of Measuring, Testing and Navigation Instruments",Measuring and Research Instruments
27617449,2761744-9,Production Software Finland Oy,Päijät-Hämeen maakunta,Lahti,Rautatienkatu 20,15110,LAHTI,"(60.982179, 25.6584)",Jyrkänkatu 1 C 26,15500,LAHTI,Suomi,FIN,Osakeyhtiö,2016-05-11,62090,Other IT and Computer Services,"IT Consulting, IT Services"
27122841,2712284-1,Neuro Event Labs Oy,Pirkanmaan maakunta,Tampere,Biokatu 10,33520,TAMPERE,"(61.507248, 23.81396)",Biokatu 10,33520,TAMPERE,Suomi,FIN,Osakeyhtiö,2015-09-21,62010,Software Design and Development,"IT Consulting, IT Services"
31307232,3130723-2,Candour Oy,Pohjois-Pohjanmaan maakunta,Oulu,Paavo Havaksen Tie 5 F,90570,OULU,"(65.057511, 25.46596)",Paavo Havaksen Tie 5 F,90570,OULU,Suomi,FIN,Osakeyhtiö,2020-04-12,62010,Software Design and Development,"IT Consulting, IT Services"
34261049,3426104-9,The Campus Company Oy,,,,,,,Mikkolantie 4 F 64,00640,HELSINKI,Suomi,FIN,Osakeyhtiö,2024-02-08,62010,Software Design and Development,"IT Consulting, IT Services"
27254203,2725420-3,ResQ Club Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16,00180,HELSINKI,"(60.1675, 24.92301)",Lapinlahdenkatu 16,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2015-11-17,62010,Software Design and Development,"IT Consulting, IT Services"
29977288,2997728-8,Mainframe Industries Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16,00180,HELSINKI,"(60.1675, 24.92301)",PL 1188,00101,HELSINKI,Suomi,FIN,Osakeyhtiö,2019-04-29,62010,Software Design and Development,"IT Consulting, IT Services"
34031649,3403164-9,Rebelvolt Oy,Uudenmaan maakunta,Nurmijärvi,Kievarintie 14 C 2,05200,RAJAMÄKI,"(60.53125, 24.75051)",Kievarintie 14 C 2,05200,RAJAMÄKI,Suomi,FIN,Osakeyhtiö,2023-11-02,27200,Manufacture of Batteries and Accumulators,Batteries and Accumulators
31626479,3162647-9,SelectAM Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16,00180,HELSINKI,"(60.1675, 24.92301)",Lapinlahdenkatu 16,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-10-05,62010,Software Design and Development,"IT Consulting, IT Services"
27631726,2763172-6,Ferovalo,Uudenmaan maakunta,Helsinki,Kansakoulukatu 3,00100,HELSINKI,"(60.167888, 24.93377)",Kansakoulukatu 3,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-05-19,62010,Software Design and Development,"IT Consulting, IT Services"
29686528,2968652-8,Axinoss Oy,,,,,,,PL 3,00321,HELSINKI,Suomi,FIN,Osakeyhtiö,2019-01-18,70220,Other Management Consulting,Management Consulting
31267824,3126782-4,Boom Corp Oy,,,,,,,Keskustori 5 C 14,33100,TAMPERE,Suomi,FIN,Osakeyhtiö,2020-03-17,62010,Software Design and Development,"IT Consulting, IT Services"
26935453,2693545-3,Pearl & Starr Enterprises Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16 A,00180,HELSINKI,"(60.1675, 24.92301)",Lapinlahdenkatu 16 A,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2015-05-25,62010,Software Design and Development,"IT Consulting, IT Services"
27967967,2796796-7,OpenCO2net Oy,Uudenmaan maakunta,Espoo,Luuvantie 42,02620,ESPOO,"(60.24409, 24.78036)",Luuvantie 42,02620,ESPOO,Suomi,FIN,Osakeyhtiö,2016-11-24,70220,Other Management Consulting,Management Consulting
27642847,2764284-7,CollectiveCrunch Oy,Uudenmaan maakunta,Espoo,Keilaranta 6,02150,ESPOO,"(60.177129, 24.83365)",Keilaranta 6,02150,ESPOO,Suomi,FIN,Osakeyhtiö,2016-05-24,62010,Software Design and Development,"IT Consulting, IT Services"
34894065,3489406-5,Nomain Oy,Uudenmaan maakunta,Vantaa,Hiekkatie 18,01350,VANTAA,"(60.30384, 25.03636)",Hiekkatie 18,01350,VANTAA,Suomi,FIN,Osakeyhtiö,2024-11-12,62010,Software Design and Development,"IT Consulting, IT Services"
30219222,3021922-2,eMabler Oy,Uudenmaan maakunta,Helsinki,Lapinlahdenkatu 16,00180,HELSINKI,"(60.1675, 24.92301)",Lapinlahdenkatu 16,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2019-09-03,62010,Software Design and Development,"IT Consulting, IT Services"
27238414,2723841-4,IXOLIFT Ltd,Uudenmaan maakunta,Vihti,Kalkkimäentie 2,03100,NUMMELA,"(60.325209, 24.29357)",Kalkkimäentie 2,03100,NUMMELA,Suomi,FIN,Osakeyhtiö,2015-11-10,28990,Manufacture of Special-Purpose Machinery n.e.c.,Special Machines and Equipment
31448801,3144880-1,A2 Growth Oy,Uudenmaan maakunta,Helsinki,Sibeliuksenkatu 1 A 16,00250,HELSINKI,"(60.183052, 24.92413)",Sibeliuksenkatu 1 A 16,00250,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-07-01,73111,Advertising Agencies,Advertising Agency
26769715,2676971-5,Vaskia Oy,Pohjois-Pohjanmaan maakunta,Oulu,Punatulkunrinne 6,90420,OULU,"(64.964138, 25.56278)",Punatulkunrinne 6,90420,OULU,Suomi,FIN,Osakeyhtiö,2015-02-19,14190,Manufacture of Other Clothing and Accessories,Clothing Manufacturing
26917781,2691778-1,Wergo Oy,Pirkanmaan maakunta,Lempäälä,Tampereentie 38 B5,37500,LEMPÄÄLÄ,"(61.322739, 23.7481)",Harjutie 20,37550,LEMPÄÄLÄ,Suomi,FIN,Osakeyhtiö,2015-05-20,46432,Wholesale of Consumer Electronics,Electronics Wholesale
27847551,2784755-1,Treon Oy,Pirkanmaan maakunta,Tampere,Visiokatu 3,33720,TAMPERE,"(61.448009, 23.86302)",Visiokatu 3,33720,TAMPERE,Suomi,FIN,Osakeyhtiö,2016-09-28,62010,Software Design and Development,"IT Consulting, IT Services"
27392227,2739222-7,Marfle Oy,Uudenmaan maakunta,Helsinki,Wallininkatu 12,00530,HELSINKI,"(60.185408, 24.94385)",Alppikatu 9,00530,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-01-25,62010,Software Design and Development,"IT Consulting, IT Services"
31383892,3138389-2,Stealth Black Oy,Uudenmaan maakunta,Helsinki,Satamaradankatu 1,00510,HELSINKI,"(60.191598, 24.95216)",Hakamäenkuja 1,01510,VANTAA,Suomi,FIN,Osakeyhtiö,2020-05-26,62010,Software Design and Development,"IT Consulting, IT Services"
31127514,3112751-4,Token Terminal Oy,Uudenmaan maakunta,Helsinki,Pieni Roobertinkatu 9,00130,HELSINKI,"(60.164161, 24.94535)",Pieni Roobertinkatu 9,00130,HELSINKI,Suomi,FIN,Osakeyhtiö,2020-01-20,62090,Other IT and Computer Services,"IT Consulting, IT Services"
34560575,3456057-5,Kuurai Oy,,,,,,,Kankurinkatu 6 C 43,00150,HELSINKI,Suomi,FIN,Osakeyhtiö,2024-06-11,62010,Software Design and Development,"IT Consulting, IT Services"
28304719,2830471-9,Gixon,Uudenmaan maakunta,Helsinki,Katajanokanlaituri 5 A 216,00160,HELSINKI,"(60.16645, 24.96201)",Lokirinne 1 C 25,02320,ESPOO,Suomi,FIN,Osakeyhtiö,2017-04-26,90020,Performing Arts Support Activities,IT Services
27830354,2783035-4,Gigle Oy,Uudenmaan maakunta,Helsinki,Kalevankatu 34 A 9,00180,HELSINKI,"(60.165331, 24.93225)",Kalevankatu 34 A 9,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-09-20,90020,Performing Arts Support Activities,
28551154,2855115-4,Mvision AI Oy,Uudenmaan maakunta,Helsinki,Paciuksenkatu 29,00270,HELSINKI,"(60.195172, 24.89062)",Paciuksenkatu 29,00270,HELSINKI,Suomi,FIN,Osakeyhtiö,2017-09-08,46699,Wholesale of Other Machinery and Equipment n.e.c.,Wholesale Business
28101866,2810186-6,Woima Finland Oy,Pohjanmaan maakunta,Vaasa,Virtaviiva 8 F,65320,VAASA,"(63.086608, 21.65947)",Virtaviiva 8 F,65320,VAASA,Suomi,FIN,Osakeyhtiö,2017-01-25,71129,Other Technical Services,
27138966,2713896-6,Serviceform,Varsinais-Suomen maakunta,Turku,"Yliopistonkatu 23 a, 2A",20100,TURKU,"(60.45159, 22.26453)",Linnaistentie 20 b,01640,VANTAA,Suomi,FIN,Osakeyhtiö,2015-09-27,62010,Software Design and Development,"IT Consulting, IT Services"
29063371,2906337-1,Valaa Technologies Oy,Pirkanmaan maakunta,Tampere,Näsilinnankatu 25 B 508,33200,TAMPERE,"(61.49751, 23.75478)",Hämeenpuisto 35 B 39,33200,TAMPERE,Suomi,FIN,Osakeyhtiö,2018-03-29,62010,Software Design and Development,"IT Consulting, IT Services"
27853011,2785301-1,Ampliconyx Oy,Pirkanmaan maakunta,Tampere,Lautakatonkatu 18,33580,TAMPERE,"(61.509991, 23.91257)",Lautakatonkatu 18,33580,TAMPERE,Suomi,FIN,Osakeyhtiö,2016-09-30,26700,Manufacture of Optical Instruments and Photographic Equipment,Optics
